N,P,K,S,Fe,Zn,temperature,ph,rainfall,label
88,22,25,10,70,68,30.42484418,7.012687075,84.79487144,mango
12,144,198,29,50,32,23.00967737,5.949361726,72.02817211,grapes
6,123,201,47,102,28,22.14400314,6.06982868,116.3009266,apple
25,15,9,37,9,9,10.96393514,6.706015411,100.458377,orange
107,33,27,5,103,29,22.15385787,8.000783596,194.2949161,cotton
85,25,34,18,3,6,28.47725726,5.907413125,164.7743911,coffee
84,55,37,21,9,6,20.88411601,8.151622706,284.9436508,rice
89,66,14,25,67,28,22.67206034,6.444397369,108.5914827,maize
63,65,80,8,9,31,20.70850693,8.920498949,67.27830194,chickpea
6,72,22,9,80,62,29.65882091,7.083241672,47.29426038,lentil
22,6,46,23,2,4,20.78519578,7.530140714,109.5351415,pomegranate
117,77,41,27,52,19,28.85320971,7.578313941,100.9003172,banana
37,23,37,51,61,70,26.5556661,7.276849698,104.0721509,mango
3,124,201,33,49,38,23.54198329,7.393348182,68.44008035,grapes
6,121,203,49,109,33,20.72355686,7.18361509,113.3779449,apple
13,5,15,34,9,14,21.46779169,7.759777128,110.2177641,orange
115,43,21,1,109,21,24.57582519,6.911888316,85.99420177,cotton
97,72,29,36,2,13,26.27572329,7.033276351,98.91226693,coffee
90,17,37,21,5,1,20.99286539,6.372162163,203.2329649,rice
104,40,17,25,79,34,23.57274779,7.557313764,79.19410633,maize
36,76,80,12,4,44,17.55999161,6.319493635,74.20269773,chickpea
30,79,23,11,13,32,25.91927583,7.460867023,50.60574056,lentil
29,22,39,21,3,3,24.99952944,5.684872927,113.3620988,pomegranate
97,78,57,35,55,14,24.81215323,7.21093022,118.8759577,banana
11,27,30,49,48,60,34.84470467,7.041401448,98.2843212,mango
33,136,199,40,35,32,28.41680143,6.36164058,66.51683706,grapes
6,129,205,34,136,27,24.31544393,6.434916536,107.7714593,apple
25,7,21,30,15,14,11.25464264,8.571358431,108.752466,orange
118,49,33,2,96,21,23.75594547,8.669463084,98.99865543,cotton
85,37,22,50,6,62,26.22592704,7.026218257,171.3550826,coffee
91,39,44,16,6,1,20.61714646,6.121028935,264.4963833,rice
104,27,33,23,103,5,27.72266473,7.240809251,201.8503542,maize
61,60,80,12,7,32,17.34815831,8.911825939,83.11084487,chickpea
16,77,24,11,12,44,28.52626096,5.99091203,43.98198899,lentil
99,18,35,23,5,3,24.80799391,5.834979854,100.5705839,pomegranate
111,92,47,44,56,20,28.81993844,7.207265846,122.0049988,banana
13,37,32,51,55,66,34.64689487,5.540737876,89.93886185,mango
29,139,202,31,49,38,22.22304346,7.019201663,67.47218115,grapes
4,121,199,36,66,34,25.20046468,7.070459872,113.1392352,apple
22,23,5,29,14,7,22.07032024,7.536482325,109.8618979,orange
106,39,22,5,97,29,27.00272183,7.935891988,96.94246715,cotton
114,20,34,23,4,3,18.76734666,6.275229916,116.6352333,coffee
71,41,30,27,63,5,23.91774463,7.985523584,107.9910401,rice
100,37,18,29,70,24,23.93775984,6.13687481,93.77791536,maize
61,59,81,12,12,32,16.65276097,8.035701385,85.83922491,chickpea
24,69,27,9,14,45,26.53541518,7.197202495,54.02946503,lentil
34,20,39,27,6,5,26.5051733,8.026647037,118.7967105,pomegranate
104,94,52,43,51,16,29.39476973,6.574875371,116.1319647,banana
22,43,26,51,51,69,31.87363201,7.068808719,89.29051794,mango
13,137,203,37,37,37,22.3753393,6.006318209,72.30247921,grapes
4,123,205,42,36,36,22.34731405,6.642046266,101.2588967,apple
3,7,8,28,72,9,22.29349388,5.797906866,113.449881,orange
138,53,21,4,78,37,25.22562541,7.686556609,61.52782073,cotton
97,39,49,25,9,4,34.59445223,8.522964118,91.42254071,coffee
92,15,47,18,2,1,20.99267154,6.361759017,177.5261198,rice
89,38,17,27,62,29,22.77816096,6.169314267,88.3494045,maize
60,66,83,8,10,38,17.59727127,5.94457564,82.73087516,chickpea
37,71,25,8,13,61,30.26010001,7.447267057,47.2558604,lentil
32,24,47,25,6,1,20.47320814,7.059648433,100.1188191,pomegranate
83,67,42,40,56,12,29.353171,5.69286888,115.9172375,banana
15,41,19,56,54,66,34.10718867,6.071044125,89.37622184,mango
30,140,199,17,38,40,23.98025587,6.65866169,74.82276584,grapes
16,137,201,35,78,25,23.25824769,6.917606857,117.9246717,apple
5,14,15,50,11,16,30.36117879,6.872911957,102.7602499,orange
116,36,21,2,110,43,24.66493961,5.975354164,68.40890131,cotton
96,50,20,35,70,40,26.34898253,6.710989291,81.23009723,coffee
100,40,48,20,61,3,20.82553231,6.240637055,224.0077879,rice
69,40,25,30,5,42,24.36387325,6.036298874,78.68456623,maize
18,52,80,8,5,35,16.86386468,8.575111995,70.43049098,chickpea
38,79,22,9,14,45,26.75636219,7.197747053,38.78484032,lentil
34,18,39,29,2,5,27.38042049,5.733981864,126.9565198,pomegranate
108,83,53,24,69,18,26.4571087,5.839174342,108.9217137,banana
56,37,35,19,71,2,23.74023297,6.980003333,89.62338689,mango
0,126,199,30,48,45,24.93821938,7.568450849,71.61030853,grapes
23,136,201,47,87,39,22.94053521,5.715208199,107.5206531,apple
20,14,10,44,116,7,22.50828577,7.19144506,105.210208,orange
140,36,11,5,106,20,22.91925586,7.621414401,89.73258053,cotton
92,37,28,22,3,4,26.05124573,6.194031193,212.5287096,coffee
40,19,44,25,3,10,21.69492529,8.195750438,109.6948417,rice
92,43,27,26,81,24,26.43882134,7.355196552,68.60769188,maize
101,68,83,9,6,32,19.40964354,9.357162507,70.76044404,chickpea
9,72,22,13,9,52,23.4726758,8.105073278,36.41509511,lentil
38,19,41,17,3,4,20.75166881,6.539063213,103.5969867,pomegranate
85,80,49,26,58,15,28.25265811,6.525191177,128.3230101,banana
95,38,28,38,68,4,31.64631938,7.060507491,178.2605255,mango
26,139,199,38,33,34,22.85655569,6.95463362,76.6894733,grapes
30,144,202,51,68,33,23.6260251,7.647520939,114.9140997,apple
27,7,10,47,13,5,8.83838122,8.729995418,111.8834877,orange
105,39,25,4,93,30,26.92053024,8.227865426,75.8555932,cotton
106,32,27,21,4,1,27.71879665,5.894247572,163.7800821,coffee
83,12,45,20,2,5,19.66297156,7.042501584,109.6677526,rice
70,44,25,23,76,33,24.42075555,5.840965085,67.48299724,maize
59,76,82,9,2,30,17.02561604,6.072673367,67.07166007,chickpea
24,76,18,8,8,46,23.49909554,8.675417669,44.38219562,lentil
6,14,35,29,3,3,21.59431719,7.51151168,99.63901446,pomegranate
105,76,47,24,65,21,29.63735936,7.081437223,117.7352293,banana
7,25,25,54,54,65,31.40139833,5.805817867,101.1661713,mango
5,137,197,39,37,35,29.52103724,6.702132221,74.94490302,grapes
11,125,201,51,98,18,22.5558573,6.862935981,123.1866843,apple
15,21,44,41,9,43,23.21335593,7.503011007,97.36396851,orange
134,41,20,6,113,37,24.30697218,7.845961681,68.64579801,cotton
101,37,24,19,4,3,27.87387676,7.166040771,191.9573395,coffee
80,57,36,20,2,1,20.61557806,8.123176154,265.5821274,rice
96,36,16,23,78,28,23.32923168,7.114015808,84.35919057,maize
56,73,84,14,14,36,19.0085198,8.553589522,66.1559731,chickpea
29,78,17,10,11,41,25.74914408,7.528654359,43.30452945,lentil
3,29,41,20,5,3,21.90691724,6.100639555,108.8764318,pomegranate
100,92,56,22,56,16,29.34226069,7.177755633,113.7520676,banana
35,23,34,50,50,74,36.61797883,5.926664261,149.8109518,mango
2,140,198,41,32,36,22.42621018,6.299573341,70.23426563,grapes
4,123,203,40,65,38,21.12961807,7.128009296,106.6541672,apple
4,22,10,47,11,7,23.33855586,7.036417472,113.8124335,orange
113,39,23,3,99,28,22.58898636,8.544309817,74.25353518,cotton
73,13,16,26,11,7,23.14793284,6.358759219,105.9150784,coffee
116,38,30,15,3,2,24.76312524,6.480150535,172.299021,rice
71,57,20,30,84,36,23.3793327,5.878679498,69.66537992,maize
51,62,82,13,13,37,18.17505337,8.502164386,74.64888208,chickpea
86,79,16,11,7,38,25.40404528,5.977222267,49.98762636,lentil
5,22,32,27,8,9,20.57651429,7.964336243,116.8757809,pomegranate
93,89,41,23,63,17,29.05016213,7.289423035,116.7050024,banana
35,24,36,60,51,76,31.24202152,6.795751172,108.2885947,mango
93,134,202,33,81,35,26.26812831,6.489127322,73.88130965,grapes
22,145,205,50,120,29,23.88335683,6.503293259,121.8239087,apple
22,23,23,35,9,3,25.29657041,6.748781187,114.3112315,orange
112,60,29,3,108,23,27.5609191,6.664398193,67.83661244,cotton
95,26,28,17,5,3,24.3923689,7.081750446,192.1588533,coffee
16,23,32,34,6,16,22.85005635,6.338019408,123.2273838,rice
101,52,17,22,68,32,24.98541189,6.176396807,77.48697005,maize
29,61,82,7,4,40,16.99966513,8.734907994,67.8551391,chickpea
1,81,19,12,8,57,26.13698197,8.438413776,44.76962383,lentil
40,14,44,24,3,3,19.11690641,6.601601134,107.1560328,pomegranate
112,78,54,31,52,18,29.55186419,7.537745106,109.887732,banana
26,39,24,50,53,78,26.42968599,6.616865589,87.30500378,mango
37,37,197,43,54,40,28.28565796,5.774343074,171.5743587,grapes
25,124,202,51,70,39,25.31408746,7.504342532,97.80354373,apple
96,20,20,23,7,3,26.06940289,6.094692808,105.9794983,orange
130,46,28,4,115,31,24.44341661,8.295589878,65.53158524,cotton
78,27,27,17,1,4,27.95213127,5.883234297,171.0168715,coffee
62,47,39,26,9,4,21.92639941,6.795877731,293.6161852,rice
102,37,17,23,54,28,21.90014086,5.768543887,91.02120545,maize
35,56,85,9,12,38,16.94762587,8.207931551,87.3350144,chickpea
28,70,22,12,15,57,26.16816366,5.941463804,36.26113786,lentil
22,32,45,17,1,7,22.98132782,7.596388931,109.704497,pomegranate
103,71,49,39,60,15,30.82268741,7.248906555,104.7629963,banana
34,20,24,39,76,40,30.72495725,6.766692421,72.8127995,mango
33,133,195,31,39,30,34.8464781,7.132458408,76.98751413,grapes
20,135,199,32,75,31,21.92266169,7.149700291,94.58845164,apple
22,19,10,41,10,9,36.54012648,5.725921856,106.944791,orange
134,41,17,6,96,33,25.39942082,6.56473529,87.64684145,cotton
84,26,30,18,3,4,27.05275863,5.970384476,190.1318987,coffee
100,58,33,23,6,1,25.38989679,7.894196403,120.2972006,rice
98,43,20,23,69,28,23.80233966,6.24975905,78.18456637,maize
67,66,79,7,9,25,16.67343277,6.399800085,70.97699469,chickpea
4,74,17,8,10,65,22.52524642,8.033630168,50.31775874,lentil
86,26,41,16,4,4,18.15999156,6.15181721,115.6510668,pomegranate
85,85,42,47,69,17,28.46745116,7.240737309,110.775339,banana
31,65,26,38,53,70,29.09596204,7.031570728,89.22537166,mango
20,131,201,35,38,32,23.05093035,5.772936072,67.37101862,grapes
3,124,203,53,71,37,22.64053364,6.774897952,114.3706738,apple
38,13,16,46,15,13,12.65829728,7.29736227,102.982537,orange
130,48,23,5,97,34,24.16756943,6.932779101,68.05320857,cotton
118,23,29,19,53,6,27.49920518,7.913111261,204.8482417,coffee
89,51,22,41,4,54,22.87435616,8.058626608,83.79242814,rice
70,37,19,24,76,32,24.91376707,6.288063641,67.83657755,maize
54,75,83,11,11,25,17.78960649,8.878675285,64.45113001,chickpea
3,76,14,9,13,39,26.22904746,7.676152035,38.01314969,lentil
38,11,41,30,3,3,22.62394295,8.028991652,113.3676669,pomegranate
97,91,48,37,52,17,30.42114552,7.373765593,111.8840862,banana
10,42,25,45,77,74,33.01759071,6.156523736,104.6571262,mango
35,134,197,35,37,35,29.059408,6.442549051,64.7985871,grapes
12,130,203,46,129,37,23.15967751,5.97107415,121.7650763,apple
27,5,37,27,14,12,31.6898237,7.964137671,114.2344927,orange
111,46,20,9,106,40,22.00898774,8.710474056,68.2715118,cotton
77,59,31,47,52,10,19.03619046,7.336340609,91.34462608,coffee
91,42,41,18,3,3,22.0062362,5.98531898,206.9045156,rice
88,48,20,28,61,26,24.05445494,7.713088606,72.54669512,maize
58,67,83,11,13,32,16.55897616,8.760291089,61.21805024,chickpea
16,77,33,13,13,62,28.41066802,7.55575998,44.07666964,lentil
85,30,43,19,3,3,24.67201704,7.947414159,110.805848,pomegranate
111,74,46,36,68,19,26.30036944,7.103633206,115.0685384,banana
65,39,11,47,87,57,30.11859409,5.902241348,86.57455835,mango
4,138,199,32,37,37,30.19620535,7.517141065,71.98282512,grapes
16,125,202,46,69,33,22.41108904,6.696019731,125.5750509,apple
16,19,22,46,15,17,26.07551426,7.141030098,98.62065905,orange
96,46,14,4,102,35,24.91947695,6.844039535,86.08928506,cotton
79,57,27,19,68,25,25.51395222,7.071243079,194.799545,coffee
112,35,46,21,3,3,20.56333236,6.84644195,199.4649334,rice
90,44,21,21,57,25,26.66502939,7.366682642,97.46588887,maize
49,63,83,13,12,41,16.70522452,8.764025683,88.79657255,chickpea
7,69,20,11,9,38,26.96308323,7.463205645,52.4600793,lentil
15,6,39,18,4,6,23.93010826,6.993543657,110.0403703,pomegranate
100,79,53,23,65,20,28.63894863,5.786215592,127.8746323,banana
35,26,36,58,54,71,26.48155617,5.439279473,85.86061195,mango
80,136,202,52,49,48,22.67190878,6.824077684,71.17015086,grapes
29,140,205,48,128,45,22.39405576,6.815233278,120.8970613,apple
88,29,22,27,12,8,21.42815504,6.012267647,108.6293659,orange
119,48,15,4,115,27,26.2914293,7.974464788,68.87353471,cotton
97,39,28,59,45,61,27.31019557,5.730862812,146.1046232,coffee
107,44,18,22,9,8,20.54375241,8.886576142,81.9623096,rice
88,40,22,34,55,26,20.48176272,6.179092321,71.45112151,maize
46,69,81,9,4,37,17.91351215,8.3204047,70.71114001,chickpea
2,81,18,12,10,66,26.5800403,7.389030757,42.4085607,lentil
29,26,37,19,1,2,22.3177482,8.011319403,107.9492412,pomegranate
113,89,52,25,51,18,26.99777706,7.113759215,111.7812761,banana
92,24,17,27,52,6,25.64019737,7.055323441,99.4735788,mango
18,120,198,31,51,49,23.52435854,7.664257384,72.07767078,grapes
24,133,205,52,73,31,21.50538975,6.584826757,104.9509797,apple
1,14,10,41,10,13,21.23562071,7.457857144,102.1605016,orange
129,55,25,10,109,45,26.44976409,6.757133227,69.82558747,cotton
103,21,25,31,2,5,26.54423484,7.143539611,147.5327134,coffee
62,47,44,17,4,4,26.90626708,7.981493876,285.7207452,rice
87,39,20,28,81,30,22.84580757,6.285991037,89.75525617,maize
49,78,83,11,6,33,18.0031618,6.139737273,73.36411308,chickpea
28,78,77,11,7,46,27.51891306,7.3047338,43.10701311,lentil
18,22,30,25,3,4,20.40732461,6.523628576,112.7664833,pomegranate
101,76,33,27,68,18,25.23997621,6.334571192,114.9343056,banana
18,26,36,56,57,66,28.80399766,5.397983548,89.78142695,mango
26,136,197,31,48,47,23.90126039,6.755620628,79.79707059,grapes
5,122,200,46,68,24,25.29966131,6.598125387,117.2845023,apple
13,5,18,52,15,16,22.4182893,6.644123471,115.4025882,orange
110,59,33,2,88,26,24.29438255,8.43922347,73.02405111,cotton
108,16,12,25,8,4,24.01507271,7.180542024,111.0520479,coffee
84,46,25,18,3,4,26.20492125,7.050801714,178.9324057,rice
78,36,18,29,76,27,23.0984835,8.190831595,89.548105,maize
33,67,84,10,12,42,17.28236831,8.639143868,72.64448354,chickpea
111,80,31,9,12,67,26.71847267,7.20628689,41.29255038,lentil
79,34,38,22,3,3,22.2402036,6.351620499,109.9633925,pomegranate
103,73,39,25,66,7,25.42562826,6.9026112,122.9254841,banana
37,49,20,26,73,35,29.52954791,6.206592316,84.20921917,mango
18,141,198,32,48,34,22.55618371,7.646346428,68.02808387,grapes
22,134,203,47,143,41,22.87056365,7.510769628,116.8060016,apple
12,14,18,44,16,14,22.14834534,7.205431959,106.0376515,orange
129,40,18,8,103,36,26.73461355,8.459673449,65.18895021,cotton
80,30,31,40,5,46,28.31952124,7.333619408,138.1175021,coffee
99,17,39,21,4,1,20.36951415,6.444821791,247.0144986,rice
105,39,18,29,81,31,20.6218768,7.605114517,67.50208061,maize
30,82,80,10,5,24,19.71208684,6.162958351,69.91021862,chickpea
26,81,23,10,12,65,21.34468199,7.495932749,40.36595895,lentil
24,27,39,30,4,1,22.8706036,7.983702736,117.7975445,pomegranate
101,78,39,27,76,15,24.64728867,6.857930512,114.4746528,banana
27,21,31,58,75,70,36.58180547,5.966834907,92.19020567,mango
24,130,198,32,38,42,22.97690844,6.240372938,76.29216594,grapes
17,126,202,45,136,50,23.3916884,6.75855644,118.9979319,apple
33,5,6,36,6,7,11.24776376,6.229725482,115.8476043,orange
112,51,37,2,111,25,23.92485108,7.142906528,193.7033396,cotton
92,40,24,25,73,30,25.93935106,6.318176016,103.811533,coffee
93,25,31,17,5,11,26.28544476,7.740134614,169.5647484,rice
61,59,19,21,55,41,17.58164064,5.863930864,69.84070054,maize
59,72,87,8,4,38,20.66989802,8.53059477,74.49476907,chickpea
31,68,21,8,13,58,29.21711676,7.024115176,43.59963017,lentil
30,10,32,20,2,2,21.20186689,5.901875744,107.2817419,pomegranate
103,65,54,42,54,20,29.37816909,6.97340778,103.2868223,banana
98,35,35,50,50,73,27.021132,7.308799944,104.7039859,mango
31,136,198,32,38,47,16.77522633,7.271108047,67.67445537,grapes
0,128,201,40,99,31,26.10837037,6.433081801,113.857953,apple
17,22,6,34,8,14,8.83838122,6.710899158,100.6832947,orange
115,61,22,2,112,24,23.6236844,8.301852379,71.35183922,cotton
85,26,45,18,2,3,23.06561418,7.740655284,182.1351421,coffee
87,53,30,24,11,7,25.90146217,7.346043178,110.2763096,rice
77,34,30,30,58,40,24.24445101,7.434065896,68.37715315,maize
20,67,82,13,11,38,17.47917052,8.000913877,64.08243337,chickpea
27,76,20,11,8,62,29.65897892,5.657070218,49.64830016,lentil
4,20,37,30,1,5,19.96470247,6.863590218,109.9252471,pomegranate
103,97,55,43,63,13,25.12650758,5.351578077,115.5872448,banana
22,34,31,38,47,73,35.08556397,7.029672149,90.46130265,mango
9,145,200,37,37,38,17.38935634,6.789555707,71.79106572,grapes
41,124,202,50,87,21,21.19738266,6.554029506,120.7049769,apple
4,10,13,47,8,13,29.07555792,8.524914129,103.2310321,orange
97,53,19,3,107,24,24.97556385,5.882282052,84.28270859,cotton
80,50,14,25,58,31,26.39087687,6.258174919,169.0927776,coffee
95,41,18,24,5,2,20.64183354,9.086669873,107.1008172,rice
97,40,12,23,3,4,19.17850657,7.985097298,122.6842054,maize
39,77,82,12,6,41,17.78240787,8.372774299,70.17144523,chickpea
27,80,21,8,13,61,24.79310441,7.249879559,52.48945203,lentil
22,9,46,20,3,5,20.45232195,7.058450319,124.7207984,pomegranate
102,76,53,38,46,15,24.45089809,7.203826695,109.4318405,banana
13,36,33,38,54,62,29.25791603,7.398848728,93.2364538,mango
21,133,197,28,31,38,21.1439799,6.345084461,73.89122578,grapes
4,133,202,35,130,26,24.63213069,6.240211922,114.1564324,apple
28,23,12,37,8,13,22.91321189,7.066780222,95.19206231,orange
111,40,18,2,96,24,24.63243652,5.7811399,88.45549877,cotton
11,33,27,17,5,4,28.08183479,7.607079475,179.560818,coffee
109,18,46,22,3,3,19.94528717,7.102291378,117.2316221,rice
77,41,19,24,68,43,21.61690817,7.783953929,195.7440428,maize
60,67,82,11,13,28,17.74078536,8.201096687,63.7379659,chickpea
80,74,13,8,8,54,24.91876307,7.118124366,35.0349831,lentil
16,26,42,25,3,5,27.06007778,7.35185454,110.609153,pomegranate
107,80,51,44,60,18,29.85387585,7.382017431,108.6384163,banana
15,34,35,56,53,68,24.04692673,5.744790002,89.95454892,mango
5,125,198,45,40,38,14.37673663,6.575979547,76.98257381,grapes
22,129,204,42,147,43,24.31992842,7.305853576,112.6680863,apple
3,15,14,36,8,10,20.02725809,8.082564261,105.126783,orange
131,36,20,3,103,26,23.23690611,8.62996692,68.40040519,cotton
95,46,29,24,73,24,19.41826413,6.472101426,109.6907166,coffee
44,37,30,59,56,6,27.5429042,5.894290333,81.95572871,rice
103,45,23,23,57,26,19.86176451,6.650672352,75.93864835,maize
63,51,77,8,12,49,17.14659973,8.130391849,85.96213058,chickpea
39,76,25,9,6,49,21.89578784,6.695119975,39.27403958,lentil
97,11,35,16,6,6,19.99001668,7.49387355,112.5453414,pomegranate
90,95,48,29,57,13,25.13305785,7.188805485,125.873766,banana
24,49,21,9,75,38,25.14889373,6.230297883,89.58581659,mango
1,124,201,34,39,36,26.45662186,7.347756464,77.56066335,grapes
37,142,199,51,63,50,23.51177094,6.82412189,120.1223389,apple
9,8,13,21,11,8,17.84901361,6.973416078,112.6304606,orange
118,36,23,9,97,2,27.4722138,5.899373674,205.853396,cotton
97,49,43,25,2,1,20.65876302,9.057997194,106.6518451,coffee
114,31,19,20,9,4,21.64099953,8.826705304,75.09451918,rice
105,47,21,29,70,28,24.25702698,6.42419207,86.33931712,maize
47,61,80,7,12,33,18.23087308,5.922365897,67.10631892,chickpea
15,67,19,13,13,53,23.45620805,7.397204534,43.283496,lentil
4,24,32,24,3,1,19.82570348,6.817075274,112.1534626,pomegranate
92,80,50,42,62,16,30.23575008,5.854942318,113.3240854,banana
67,36,20,44,55,66,23.78923837,7.374587852,198.3995674,mango
36,129,195,30,50,5,22.07721941,6.839725715,73.2759923,grapes
31,120,202,43,123,43,24.50613663,6.801986815,128.3950763,apple
2,5,8,27,87,8,12.06585103,7.352582793,96.34649725,orange
104,30,31,8,113,31,20.04073781,6.778221244,64.03575602,cotton
100,33,32,23,4,5,22.97771836,6.0007129,193.1630445,coffee
104,48,41,23,6,1,24.65664829,6.445075068,250.1539017,rice
80,39,11,23,54,42,25.64995631,7.004957373,94.96329216,maize
62,75,83,12,11,26,18.35018819,8.497756636,67.41503245,chickpea
10,66,21,8,13,50,19.75773188,7.503446041,48.97861895,lentil
94,14,39,21,3,3,23.854269,6.024310773,112.4944711,pomegranate
101,90,55,26,54,19,29.25478239,7.393009787,116.3752793,banana
25,45,14,45,68,61,30.13496631,7.012183099,85.51009197,mango
23,122,205,30,34,34,25.17561837,6.984789728,81.58710664,grapes
30,124,205,42,86,19,22.61827812,5.652711941,123.3196942,apple
0,21,5,42,12,14,18.33606355,7.264432579,99.57805704,orange
113,32,21,3,106,31,22.81222064,8.546060774,88.91129722,cotton
87,40,17,26,2,36,24.58715422,6.436454445,122.2993444,coffee
92,50,41,16,2,1,21.08397113,7.019930302,283.0237921,rice
71,47,21,30,81,29,22.48629862,6.099640229,85.521663,maize
32,58,85,8,5,40,17.82621449,6.205964578,73.57666871,chickpea
29,73,18,10,9,59,25.54189128,6.970929959,53.20503179,lentil
107,12,42,23,2,5,21.23909654,6.232143299,96.72235841,pomegranate
92,89,49,35,62,16,28.55369351,7.167180292,124.1701797,banana
29,29,38,47,52,72,24.33447951,5.823684474,89.9449942,mango
6,145,197,30,36,22,24.16323115,6.682051614,73.80654311,grapes
0,126,198,51,79,40,23.70643945,7.420630411,111.4472894,apple
14,5,29,37,16,59,31.60831669,8.276087005,102.6293926,orange
112,39,24,4,107,3,27.03140015,7.452183257,102.1739146,cotton
97,18,29,50,14,47,25.09789539,6.268520397,42.51259421,coffee
101,59,48,24,4,3,20.841346,6.667122134,281.8786864,rice
75,42,17,24,77,37,21.44242262,6.284062034,67.31958188,maize
56,59,80,10,5,23,18.15946636,8.190681189,68.54299994,chickpea
9,78,26,11,11,41,25.81319711,6.418540568,46.86106509,lentil
13,36,43,19,4,5,22.93951354,7.818709382,106.7174657,pomegranate
105,73,45,45,64,4,26.08815529,5.984191772,110.5872729,banana
33,38,30,52,51,73,34.00549732,6.125862993,104.5756188,mango
14,137,196,46,48,38,24.50352498,5.787121478,69.96245102,grapes
2,131,204,31,52,48,21.98897069,6.287273206,118.1015334,apple
21,15,25,33,10,5,18.20651942,8.874549518,104.5973004,orange
128,60,26,7,111,38,25.25883173,6.833200323,64.5273884,cotton
101,41,38,23,94,3,22.4508293,7.100986744,195.1639161,coffee
75,40,44,20,2,3,21.25423682,6.361693071,205.8874806,rice
98,38,22,29,71,3,23.96167072,7.056653219,67.76997778,maize
56,68,78,8,12,28,17.9044297,7.650777095,59.27005448,chickpea
10,80,20,9,13,43,18.7299669,6.305366431,43.2206333,lentil
14,20,32,25,8,4,22.32091604,7.021165636,114.5885015,pomegranate
104,82,48,44,71,15,25.31243264,5.853095271,121.5649341,banana
36,39,27,52,60,80,28.10738785,4.819497499,100.2299931,mango
12,137,193,31,37,40,11.59021028,6.44723779,65.66545237,grapes
9,142,201,39,65,29,22.71825394,6.862166676,113.4169004,apple
16,5,5,41,13,13,32.10611933,6.083496172,114.9330424,orange
113,42,21,2,118,29,23.11706314,7.203021495,96.28897819,cotton
84,56,39,18,3,46,22.3836993,6.036367064,163.291015,coffee
117,33,22,25,103,4,28.92502343,7.278749258,180.3790021,rice
58,36,16,21,74,34,24.29864603,5.989852849,101.4117053,maize
54,73,83,9,11,49,17.33424833,8.914980985,88.19504087,chickpea
8,66,20,10,9,50,25.75221221,7.044636823,45.06914512,lentil
3,18,34,19,3,4,21.57023975,7.033179683,112.9723397,pomegranate
87,70,50,26,62,14,27.36802107,6.958477529,107.2534549,banana
79,35,21,25,5,6,25.69918498,5.950108402,144.8067087,mango
32,142,202,51,57,37,24.42723952,7.359041148,68.45920097,grapes
30,124,201,53,137,36,24.10394737,5.853687701,110.2925607,apple
26,5,10,44,12,5,13.26698207,5.930083104,121.9318631,orange
133,45,19,6,102,32,24.90573732,7.01914777,71.64543912,cotton
95,17,27,22,1,1,23.80951943,6.919243896,179.6615066,coffee
7,20,42,21,6,6,20.2650589,6.854614151,106.2632881,rice
61,42,20,27,72,24,24.00226932,6.422313817,78.01603061,maize
69,60,81,13,12,38,23.62809973,9.035962645,77.12536722,chickpea
37,70,19,9,10,23,26.52916242,5.968652364,41.04385899,lentil
30,13,40,23,4,4,23.36959537,7.746990332,111.6731815,pomegranate
112,90,42,24,52,19,29.4407584,6.676767578,120.5502733,banana
26,26,32,51,50,78,31.84131605,5.670449229,100.7498484,mango
9,133,197,27,46,41,25.99396886,7.327520017,66.61020033,grapes
6,129,202,51,77,39,22.44905685,6.438353647,127.3379896,apple
17,17,15,47,9,5,29.51278893,7.038852826,114.7895922,orange
111,60,29,1,103,18,23.22427345,7.13061128,90.21953309,cotton
41,27,13,23,2,10,24.0378988,8.011589701,120.7315034,coffee
96,42,18,22,5,40,25.85145859,8.264282917,76.13415147,rice
86,35,21,28,87,35,20.78795879,6.287748521,91.99630246,maize
37,72,83,8,8,33,17.99764099,8.725923577,73.94979804,chickpea
5,61,19,10,8,46,23.78151451,7.340388512,53.1801634,lentil
10,10,42,23,3,5,22.78760529,7.8265282,113.5300931,pomegranate
82,86,46,40,54,16,25.71054674,7.098389091,117.8604121,banana
89,42,29,8,45,40,30.65539932,6.182033217,92.17767128,mango
32,143,199,31,52,41,38.25098738,6.763944769,72.33872489,grapes
26,132,198,31,61,46,22.22967135,6.728069015,113.3128376,apple
9,15,7,28,14,12,12.0260471,7.267816967,110.8496734,orange
112,48,15,2,110,26,21.1912118,7.135228132,94.31552057,cotton
10,27,33,46,1,6,25.88836775,8.01249406,129.8044718,coffee
62,56,47,47,75,65,25.13368467,7.387042561,84.54171831,rice
88,51,22,29,76,33,24.43214115,8.079072577,97.89434965,maize
20,54,83,8,10,36,18.51940284,8.413968404,73.77398752,chickpea
29,80,27,9,13,45,27.25894423,7.958888562,48.7594717,lentil
9,18,38,22,4,3,19.67925546,7.009943073,109.657914,pomegranate
98,64,54,43,70,16,30.06503201,7.302616896,115.7139477,banana
29,33,34,39,50,72,36.69318275,6.974631638,104.9693299,mango
11,137,197,38,50,38,17.99966997,6.238198831,71.03217265,grapes
5,118,199,40,76,41,19.93571867,7.1132956,102.2669686,apple
10,24,5,47,9,8,26.05274227,7.774845336,110.6581059,orange
125,33,15,7,109,36,22.59876914,7.384402292,85.37448413,cotton
91,36,28,21,56,4,27.89155943,5.825558011,99.35144961,coffee
